,customer_id,signup,view_product_page,item_in_cart,purchase,review,subscribe,restart_subscription,referral
0,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
